mode,agent,pursuer,dynamic,visibility_radius,size,density,n_runs,win_rate,avg_steps,std_steps,avg_time_ms,std_time_ms,avg_nodes_expanded,avg_cells_explored,avg_wall_shifts,avg_phase_switch_step
full,alpha_beta,astar,False,,11,0.15,5,0.6,31.4,16.9794,10.1357,5.7892,5181.6,,,
full,alpha_beta,astar,False,,11,0.25,3,0.3333,39.6667,17.8979,11.1528,4.4863,5498.6667,,,
full,alpha_beta,astar,False,,11,0.35,4,0.5,34.5,17.8979,5.3945,0.4997,2700,,,
full,alpha_beta,astar,False,,13,0.15,5,0.6,35.4,13.5019,12.237,4.5366,6583.4,,,
full,alpha_beta,astar,False,,13,0.25,5,0.2,39,15.1658,8.9432,4.3241,4583.6,,,
full,alpha_beta,astar,False,,13,0.35,3,0,25,22.1133,8.6617,9.8585,4469.3333,,,
full,alpha_beta,astar,False,,17,0.15,5,0.4,42.4,10.4067,10.5885,4.5974,5471.8,,,
full,alpha_beta,astar,False,,17,0.25,5,0,37.2,12.2352,9.0792,3.9048,4613.8,,,
full,alpha_beta,astar,False,,17,0.35,5,0,47,6.7082,6.9079,2.2122,3408.6,,,
full,alpha_beta,astar,False,,21,0.15,4,0.25,45.75,5.6789,14.9517,3.3199,7807.5,,,
full,alpha_beta,astar,False,,21,0.25,4,0,39.75,11.8427,9.7752,1.5345,4611.25,,,
full,alpha_beta,astar,False,,21,0.35,4,0,44.25,11.5,8.2525,3.1205,3777,,,
full,alpha_beta,astar,True,,11,0.15,5,0.8,29.6,12.9923,9.864,3.9951,5201,,,
full,alpha_beta,astar,True,,11,0.25,3,0.3333,39.6667,17.8979,10.593,4.2132,5528.3333,,,
full,alpha_beta,astar,True,,11,0.35,4,0.5,23,9.3808,4.8718,1.1205,2417.75,,,
full,alpha_beta,astar,True,,13,0.15,5,0.6,35.4,13.5019,13.1906,4.9966,6599,,,
full,alpha_beta,astar,True,,13,0.25,5,0.4,33.6,15.0765,8.4242,4.6048,4351,,,
full,alpha_beta,astar,True,,13,0.35,3,0,11.6667,4.7258,2.8989,0.9709,1473.6667,,,
full,alpha_beta,astar,True,,17,0.15,5,0.4,42.4,10.4067,10.6886,4.3796,5417.8,,,
full,alpha_beta,astar,True,,17,0.25,5,0,43.4,9.0995,10.2913,2.1158,4926,,,
full,alpha_beta,astar,True,,17,0.35,5,0,46.8,7.1554,7.4366,2.7422,3371.8,,,
full,alpha_beta,astar,True,,21,0.15,4,0,50,0.0,16.016,2.3591,8378.25,,,
full,alpha_beta,astar,True,,21,0.25,4,0,39.5,9.6782,10.3509,3.8729,5091.5,,,
full,alpha_beta,astar,True,,21,0.35,4,0,43.75,12.5,8.7588,3.6468,4112.75,,,
full,alpha_beta,beam,False,,11,0.15,5,0.6,31.4,16.9794,9.5124,4.7704,5195.2,,,
full,alpha_beta,beam,False,,11,0.25,3,0.3333,39.6667,17.8979,10.2771,3.3756,5498.6667,,,
full,alpha_beta,beam,False,,11,0.35,4,0.5,34.5,17.8979,5.231,0.3974,2700,,,
full,alpha_beta,beam,False,,13,0.15,5,0.6,35.4,13.5019,12.1696,4.6726,6615,,,
full,alpha_beta,beam,False,,13,0.25,5,0.2,38.6,15.6461,9.6692,5.7145,4613.8,,,
full,alpha_beta,beam,False,,13,0.35,3,0.3333,27,21.2838,8.9812,8.7391,4805.3333,,,
full,alpha_beta,beam,False,,17,0.15,5,0.2,46.2,8.4971,12.2698,5.399,6347,,,
full,alpha_beta,beam,False,,17,0.25,5,0,34,9.1924,7.532,2.0968,3847,,,
