mode,agent,pursuer,size,density,seed,dynamic,visibility_radius,outcome,win,steps,nodes_expanded,time_ms,cells_explored,wall_shifts,phase_switch_step,error
full,minimax,beam,11,0.25,11250,False,,error,0,,,,,,,AssertionError: Start is a wall
full,minimax,astar,11,0.25,11250,False,,error,0,,,,,,,AssertionError: Start is a wall
full,alpha_beta,beam,11,0.25,11250,False,,error,0,,,,,,,AssertionError: Start is a wall
full,alpha_beta,astar,11,0.25,11250,False,,error,0,,,,,,,AssertionError: Start is a wall
full,expectimax,beam,11,0.25,11250,False,,error,0,,,,,,,AssertionError: Start is a wall
full,expectimax,astar,11,0.25,11250,False,,error,0,,,,,,,AssertionError: Start is a wall
full,lrta,beam,11,0.25,11250,False,,error,0,,,,,,,AssertionError: Start is a wall
full,lrta,astar,11,0.25,11250,False,,error,0,,,,,,,AssertionError: Start is a wall
full,hill_climb,beam,11,0.25,11250,False,,error,0,,,,,,,AssertionError: Start is a wall
full,hill_climb,astar,11,0.25,11250,False,,error,0,,,,,,,AssertionError: Start is a wall
full,beam_search,beam,11,0.25,11250,False,,error,0,,,,,,,AssertionError: Start is a wall
full,beam_search,astar,11,0.25,11250,False,,error,0,,,,,,,AssertionError: Start is a wall
