mode,agent,pursuer,n_runs,win_rate,avg_steps,avg_time_ms,avg_nodes_expanded,avg_cells_explored
full,alpha_beta,astar,16,0.4375,31.125,9.2901,4888.75,
full,alpha_beta,beam,16,0.4375,31.125,9.4328,4885,
full,alpha_beta,greedy,16,0.5625,32.3125,8.7493,4493.1875,
full,alpha_beta,random,16,0.1875,44.1875,11.7478,6014.5,
full,beam_search,astar,16,0.1875,11.3125,1.4224,371.0625,
full,beam_search,beam,16,0.1875,11.6875,1.4636,380,
full,beam_search,greedy,16,0.375,14.4375,1.661,437.25,
full,beam_search,random,16,0.8125,19.3125,2.1227,525.5625,
full,expectimax,astar,16,0.5,30.0625,22.7468,10251.1875,
full,expectimax,beam,16,0.5,31.4375,23.6541,10695.125,
full,expectimax,greedy,16,0.4375,36.5,24.2048,11130.6875,
full,expectimax,random,16,0.1875,45.75,27.2827,12311.5,
full,hill_climb,astar,16,0.1875,12.1875,0.6799,137.875,
full,hill_climb,beam,16,0.1875,16.3125,0.6641,144.0625,
full,hill_climb,greedy,16,0.125,23.1875,0.6617,163.9375,
full,hill_climb,random,16,0.375,34.9375,0.8511,207,
full,lrta,astar,16,0.1875,11.625,0.0736,0,
full,lrta,beam,16,0.1875,12.1875,0.0809,0,
full,lrta,greedy,16,0.375,15.4375,0.0841,0,
full,lrta,random,16,0.75,20.6875,0.1192,0,
full,minimax,astar,16,0.4375,31.125,18.4001,10538.4375,
full,minimax,beam,16,0.4375,31.125,17.7478,10537.875,
full,minimax,greedy,16,0.5625,32.3125,16.3458,9591.3125,
full,minimax,random,16,0.1875,44.1875,21.0096,12421.875,
partial,exploration,astar,48,0.1875,14.4167,0.2355,,0.51
partial,exploration,beam,48,0.2083,14.7292,0.2415,,0.5139
partial,exploration,greedy,48,0.2292,17.5417,0.2604,,0.569
partial,exploration,random,48,0.625,30.9792,0.4144,,0.7816
partial,online_astar,astar,48,0.3333,11.9375,2.6385,,0.4948
partial,online_astar,beam,48,0.3542,12.1875,2.6143,,0.4985
partial,online_astar,greedy,48,0.2292,11.2708,2.645,,0.4937
partial,online_astar,random,48,0.8125,21.3958,3.3285,,0.6752
partial,online_lrta,astar,48,0.1875,10.125,0.0692,,0.438
partial,online_lrta,beam,48,0.1875,10.125,0.0705,,0.438
partial,online_lrta,greedy,48,0.1875,12.375,0.0793,,0.4841
partial,online_lrta,random,48,0.75,27.3125,0.154,,0.6856
