agent,visibility_radius,dynamic,n_runs,win_rate,avg_steps,avg_time_ms,avg_cells_explored,avg_wall_shifts
exploration,2,False,32,0.1875,20.5312,0.2394,0.4032,0
exploration,4,False,32,0.2812,18.5312,0.2777,0.601,0
exploration,6,False,32,0.4062,17.125,0.3069,0.7302,0
exploration,2,True,32,0.25,20.9062,0.246,0.4419,3.25
exploration,4,True,32,0.3438,21.5625,0.3168,0.6383,3.375
exploration,6,True,32,0.4062,17.8438,0.3408,0.7471,2.7188
online_astar,2,False,32,0.4062,14.4062,3.0538,0.3601,0
online_astar,4,False,32,0.4062,13.6562,2.7755,0.5431,0
online_astar,6,False,32,0.3125,12,2.5255,0.6748,0
online_astar,2,True,32,0.4688,15.875,3.1732,0.3805,2.375
online_astar,4,True,32,0.5,14.6875,2.7307,0.5636,2.3438
online_astar,6,True,32,0.5,14.5625,2.5806,0.7212,2.3125
online_lrta,2,False,32,0.2188,14.1562,0.0837,0.3075,0
online_lrta,4,False,32,0.2188,14.1562,0.0824,0.4885,0
online_lrta,6,False,32,0.2188,14.1562,0.0884,0.6588,0
online_lrta,2,True,32,0.4375,15.8125,0.1022,0.3655,2.4062
online_lrta,4,True,32,0.4375,15.8125,0.0989,0.5465,2.4062
online_lrta,6,True,32,0.4375,15.8125,0.104,0.7018,2.4062
